"provider_name","provider_addloc","notes","notes_es","email","web_link","address","city","state","zip","lat","lon","last_update","updated_by","status","med_testing","med_primary_care","med_pediatrics","med_senior","med_women","med_urgent_care","med_dental","med_vision","med_pharmacy","med_mental_health","med_hotline","med_addiction","med_domestic_violence","legal_housing","legal_worker_protection","legal_healthcare","legal_immigration","legal_criminal","legal_domviolence","legal_contracts","legal_protester_defense","fin_grocery","fin_housing","fin_legal","fin_medical","fin_utilities","dv_medical","dv_mental_health","dv_housing","dv_legal","dv_crisis","dv_referrals","SNAP","WIC","public","children","homeless","uninsured","residents","immigrants","low_income","women","disabled","native_american","seniors","accepts_medical","discount_medical","must_show_id","free","sliding_scale","financial_assistance","contact","temp_closed","delivery","curbside_pickup","drive_thru","in_person","telehealth","telelegal","call_in_advance","alameda","san_francisco","contra_costa","santa_clara","san_mateo","solano","sonoma","napa","santa_cruz","san_benito","sacramento","farmers_market","meal_student","free_groceries","bob","mon","tues","wed","thr","fri","sat","sun","resource"
"Prairie Elementary","","Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.","Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.","","http://blogs.egusd.net/fns/","5251 Valley Hi Dr","Sacramento","CA",95823,38.4661968,-121.4408182,"2020-09-26","Angie",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(916) 686-7768",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","6:45 AM - 8:00 AM","","","6:45 AM - 8:00 AM","","","meal"
"Fuente Wellness Center","","Youth health center providing urgent care, chronic illness management, physicial exams, insurance enrollment, and behavior health counseling services. Also has youth leadership//mentorship component. Dental clinic number is (510) 481-4554. Operates on a sliding fee scale for low-income and uninsured patients. Multilingual staff (Spanish). La Clinica is currently offering testing to La Clinica patients if you have symptoms, exposure to someone with COVID-19, or if your work requires it. Call your medical site to discuss a testing appointment.","El centro de salud juvenil brinde atención de urgencia, manejo de enfermedades crónicas, exámenes físicos, inscripción en seguros y servicios de asesoramiento de salud conductual. También tiene liderazgo juvenil // componente de tutoría. El número de la clínica dental es (510) 481-4554.Opera en una escala de tarifas móvil para pacientes de bajos ingresos y sin seguro. Personal multilingüe (español).","","https://laclinica.org/location/fuente-wellness-center/","16335 E 14th St San Leandro","NA","CA",94578,37.7036427,-122.1263537,"2020-07-22","BB",1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"(510) 481-4556",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9:30 AM - 6:00 PM","9:30 AM - 6:00 PM","9:30 AM - 6:00 PM","9:30 AM - 6:00 PM","9:30 AM - 6:00 PM","","","mental_health"
"Patient Advocate Foundation: Case Management Services & MedCareLines","","Patient Advocate provides personal case management services to patients battling serious diseases. It also provides financial assistance and small grants to patients who are diagnosed with certain diseases. Call or submit an intake form at https://patientadvocate.qualtrics.com/jfe/form/SV_9Ww6p8qW4Fy0fiZ.","Patient Advocate, o el Defensor del Paciente, ofrece servicios de administración de casos personales a pacientes que luchan contra enfermedades graves. También proporcionamos asistencia financiera y pequeñas subvenciones a pacientes diagnosticados con ciertas enfermedades. Llame o envíe un formulario de admisión en https://patientadvocate.qualtrics.com/jfe/form/SV_9Ww6p8qW4Fy0fiZ.","help@patientadvocate.org","https://www.patientadvocate.org/connect-with-services/case-management-services-and-medcarelines/","","","","","","","2020-06-03","DY",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"(800) 532-5274",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5:30 AM - 2:00 PM","5:30 AM - 2:00 PM","5:30 AM - 2:00 PM","5:30 AM - 2:00 PM","5:30 AM - 2:00 PM","","","legal"
"The District Office","","Students who qualify for free or reduced lunch at school will be provided with food throughout the school closure. Students or their parents may come to the District Office (750 College Avenue, Kentfield) on Monday at 12:00 p.m. to receive their first meal","","lschott@kentfieldschools.org","","750 College Avenue","Kentfield","CA",94904,37.9523016,-122.5490846,"2020-09-23","Chris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"12:00 PM - 1:00 PM","","","","","","","meal"
"Centro Legal de la Raza: Workers' Rights Program","","Castro provides legal aid to low-wage workers, regardless of immigration status, with workers' rights issues including wage theft and workplace safety violations.","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","legal"
"Ruby's Place (en Español)","","24-hour support for counseling, emergency shelter, housing assistance, legal support, therapy, counseling, and referrals. For victims of domestic violence and human trafficking.","Apoyo las 24 horas para consejería, refugio de emergencia, asistencia de vivienda, apoyo legal, terapia, y referencias. Para víctimas de violencia doméstica y trata de personas.","","","Call Number","NA","CA","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","dv_resources"
"LifeLong Eastmont Health Center","","Operates on a sliding fee scale for low-income and uninsured patients. Offers primary health care for adults, chronic disease screening and management, specialty referrals, mental health services, podiatry, and social services.","Opera en una escala de tarifas móvil para pacientes de bajos ingresos y sin seguro. Ofrece atención primaria de salud para adultos y niños, detección y manejo de enfermedades crónicas, derivación especializada, servicios de salud mental, educación de salud y servicios sociales.","contactus@lifelongmedical.org","https://www.lifelongmedical.org/locations/our-locations/eastmont-health-center.html","7200 Bancroft Ave Suite 125A Oakland","NA","CA",94605,37.7436604,-122.1584847,"2020-07-22","BB",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"(510) 981-4100",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","mental_health"
"Level 13","","Instagram: @level13oakland.","","","https://www.level13oakland.com","341 13th St","NA","CA",94612,37.8024652,-122.2689768,"2020-07-07","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"","","","","","","","restaurant"
"Jack Franscioni Elementary","","Please stay in your car and meals will be passed through based on the number of children in the car","","jhull@montereycoe.org","","779 Orchard Ln","Soledad","CA",93960,36.4287622,-121.3157548,"2020-07-22","Chris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(831) 678-6446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"11:00 AM - 1:00 PM","11:00 AM - 1:00 PM","11:00 AM - 1:00 PM","11:00 AM - 1:00 PM","11:00 AM - 1:00 PM","","","meal"
"Tri-Valley Haven","","24-hour support line, shelter, indivual counseling and support groups, restraining order clinic.","","","http://www.trivalleyhaven.org/get-help.html","3663 Pacific Avenue Livermoore","NA","CA",94550,37.737771,-121.769933,"2020-05-12","AG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"(925) 449-5842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","dv_resources"
"CHE Contra Costa County","","Provide services focused on tobacco free living, preventing drug abuse and excessive alcohol use, healthy eating, active living, mental and emotional well-being, reproductive and sexual health, injury and violence free living, health benefit enrollment. Operates on a sliding fee scale for low-income and uninsured patients. Multilingual staff (Spanish). Staff are bilingual in Spanish/English. During COVID-19, all mental health services will be done via telephone. Please call to connect. COVID-19 testing if you show symptoms, have been exposed to COVID-19 or if your work requires it.","La Educación de Salud Comunitaria (Community Health Education) brinde servicios centrados en la vida libre de tabaco, la prevención del abuso de drogas y el consumo excesivo de alcohol, alimentación saludable, vida activa, bienestar mental y emocional, salud reproductiva y sexual, vida libre de lesiones y violencia. Opera en una escala de tarifas móvil para pacientes de bajos ingresos y sin seguro. Personal multilingüe (español).","","https://laclinica.org/location/che-contra-costa-county/","335 E Leland Rd Pittsburg","NA","CA",94565,38.011794,-121.8891035,"2020-08-05","MM",1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"(925) 431-7101",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","","","mental_health"
"Novato North Medical Clinic","","In-person and telehealth services offered: primary care, OB/GYN, vision care, chiropractic, family planning, reproductive health, behavioral health. Accepts most insurance types, including MediCal. Offers a sliding scale pricing plan for patients without insurance (how much you pay is based on your income). No weekend services in-person at this time, but phone appointments are available Monday-Saturday. No routine optometry (eye) appointments due to COVID-19.","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","health"
"Irvington Dave Clinic: Acupuncture & Chiropractic","","In-person and telehealth services offered: chiropractic, acupuncture. Accepts most insurance types, including MediCal. Offers a sliding scale pricing plan for patients without insurance (how much you pay is based on your income). Languages spoken: translation is available for most languages.","Servicios en persona y de telesalud ofrecidos: quiropráctica, acupuntura. Acepta la mayoría de los tipos de seguro, incluido MediCal. Ofrece un plan de precios de escala móvil para pacientes sin seguro (la cantidad que paga se basa en sus ingresos). Idiomas hablados: la traducción está disponible para la mayoría de los idiomas.","","https://tri-cityhealth.org/","40930 Fremont Blvd Fremont","NA","CA",94538,37.521598,-121.9567135,"2020-08-05","CH",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"(510) 770-8040",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","","","health"
"Mary Chapa Academy","","Summer Student Meal Service: We will reopen nutrition services on August 12th with our “grab
and go” meal service from 8:00-10:00am at ALL school sites every day of the week from MondayFriday, with exceptions only for observed holidays. Please drive by and pick up your daily meals
as we look forward to seeing you! 
","Servicio de comidas para estudiantes de verano: Reabriremos los servicios de nutrición el 12
de agosto con nuestro servicio de comidas ""grab and go"" de 8:00 a 10:00 a.m. en TODAS las
escuelas todos los días de la semana de lunes a viernes, con excepciones sólo para los días
festivos observados. Por favor, pasen por aquí y recojan sus comidas diarias ya que esperamos
verlos","jhull@montereycoe.org","https://a4b724d7-80c7-4a73-bd69-282945aab74a.filesusr.com/ugd/a54334_83bc46e4c9ee475a8dca340de9a58dcb.pdf","490 El Camino Real","Greenfield","CA",93927,36.3265284,-121.2480981,"2020-09-23","Chris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"8:00 AM - 10:00 AM","8:00 AM - 10:00 AM","8:00 AM - 10:00 AM","8:00 AM - 10:00 AM","8:00 AM - 10:00 AM","","","meal"
"Dublin High","","Dublin students now have the ability to order breakfast and lunch meals each day through their Canvas account. When they login, they will see a Meal Order item in their To-Do list. If they choose to order a meal, it must be submitted before 9:00am that day and can be picked up between 11:00am-1:00pm. If they do not wish to order a meal for that day, they can simply click on the ""x"" next to the item to delete it.","Los estudiantes de Dublín pueden pedir desayunos y almuerzos todos los días a través de su cuenta de Canvas. Cuando inicien la sesión, verán un ""pedido de comida"" en su lista de tareas pendientes. Si quieren pedir una comida, debe enviarla antes de las 9:00 AM de ese día y se puede recoger entre las 11:00 AM Y las 1:00 PM. Si no desean pedir una comida para ese día, simplemente pueden hacer clic en la ""x"" junto al mensaje para eliminarlo.","webmaster@dublinusd.org","https://www.dublin.k12.ca.us/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=1197&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=38711&PageID=1","8151 Village Pkwy","Dublin","CA",94568,"","","2020-09-23","Angie",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(925) 833-3300",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"11:00 AM - 1:00 PM","11:00 AM - 1:00 PM","11:00 AM - 1:00 PM","11:00 AM - 1:00 PM","11:00 AM - 1:00 PM","","","meal"
"Catholic Charities Diocese","","Providing and navigating resources for famillies experiening economic crises (rent/utility bill assistance, applying to CalFresh, etc.)","Ayuda financiera para familias  (Pago de renta, pago mensuales de utilidades, aplicando a beneficios)","","https://catholiccharitiesdom.org/family-supportive-services/","","","","","","","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(831) 722-2675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","cash_assistance"
"Excelsior Middle School","","The extension of the Summer meal program ensures that all WCCUSD students 18 years and younger can receive the full week of meals at no charge on Tuesdays and Thursdays. ","La extension del programa de alimentos de verano asegura que todos los estudiantes de WCCUSD  de 18 años de edad y menores puedan recibir alimentos de toda la semana los Martes y Jueves.

","rgauna@byron.k12.ca.us","https://busd-ca.schoolloop.com/pf4/cms2/search_results_page?d=x&search_term=meal","14301 Byron Hwy","Byron","CA",94514,37.8819617,-121.6414839,"2020-09-23","Chris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(925) 809-7500",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","8:00 AM - 1:00 PM","","8:00 AM - 1:00 PM","","","","meal"
"Horace Mann Elementary","","Our staff will be taking attendance, but families no longer have to prove their students attend District-run schools. They can be students in charter schools, private schools, or homeschooled. 

Pick-up days are Mondays and Thursdays, between 8am and 1pm. 
Social Distancing measures are in effect. Face coverings are required.
Kids do not need to be present to pick up food. Multiple days worth of food can be picked up at once. (Three meals for each weekday, and two meals for each weekend day.)
","Nuestro personal tomará asistencia, pero las familias ya no tienen que demostrar que sus estudiantes asisten a las escuelas del distrito. Pueden ser estudiantes en otras escuelas.
 
Los días de recogida son los lunes y jueves, entre las 8 AM y 1PM.
Las medidas de distanciamiento social siguen en operación. 
Se requieren cubiertas faciales.
Los niños no necesitan estar presentes para recoger la comida.
Se pueden recoger alimentos para varios días a la vez. (Tres comidas para cada día de la semana y dos comidas para cada día de fin de semana).","superintendent@ousd.org","https://www.ousd.org/Page/11930","5222 Ygnacio Ave","Oakland","CA",94601,37.773582,-122.202063,"2020-09-28","Chris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(510) 434-3334",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"8:00 AM - 1:00 PM","","","8:00 AM - 1:00 PM","","","","meal"
"Morrill Middle School","","Students will receive two lunches on each distribution day (MWF).

Pickup occurs in the parking lot of each school.","Los estudiantes recibirán dos almuerzos en cada día de distribución (LMV). La recogida ocurre en el estacionamiento de cada escuela.","","https://www.facebook.com/BerryessaUnionSchoolDistrict/posts/1680687738760935","1970 Morrill Ave.","San Jose","CA",95132,37.4103443,-121.8710742,"2020-09-29","Charlie",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"408-923-1875",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"11:30 AM - 1:00 PM","","11:30 AM - 1:00 PM","","11:30 AM - 1:00 PM","","","meal"
"Emergency Assistance Network of Santa Clara County","","Eligibility: based on zip code residence and low/very low income.
The Emergency Assistance Network provides a variety of services, including one-time rent and mortgage payment assistance, move-in costs for rental deposits, one-time utility assistance, referrals for government benefits, and low-income utility programs. Assistance levels limited by funding available. Payments made to to landlords, not to clients for rental assistance. Direct financial assistance for transportatio, utilities, medical, etc. Limits on the amount of funding and the time span in which funding is received—usually only one-time assistance.","Elegibilidad: según el código postal de residencia e ingresos bajos o muy bajos. La Red de Asistencia de Emergencia brinda varios servicios, que incluyen asistencia para el pago de alquiler e hipoteca, depósitos de alquiler para una mudanza, asistencia con servicios públicos, referencias para beneficios del gobierno y programas de servicios públicos para personas de bajos ingresos. Niveles de asistencia limitados por los fondos disponibles. Los pagos se hacen a los propietarios, no a los clientes de alquiler. Asistencia financiera directa se ofrece para el transporte, los servicios públicos, los servicios médicos, etc. Se limita la cantidad de fondos y por lo general, solo asistencia una vez.","","https://sacredheartcs.org/wp-content/uploads/2020/06/EAN-Flyer-For-Zip-Code-Restricted-Programs-2.pdf","260 Commercial St. San Jose","NA","CA",95112,"","","2020-08-09","SWP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(408) 271-1630",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","cash_assistance"
"Chris Evans Events","","Instagram: @chrisevansevents.","","","http://www.chrisevansevents.com/home","478 25th St.","NA","CA",94612,"","","2020-07-07","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"8am - 6pm","8am - 6pm","8am - 6pm","8am - 6pm","8am - 6pm","","","restaurant"
"Vallejo High","","Parents/guardians can pick up these meals at ANY school site.  Children do not need to be present for meal pick up. 
","Los padres / tutores pueden recoger estas comidas en CUALQUIER sitio escolar. No es necesario que los niños estén presentes para recoger la comida.","kbraverman@vcusd.org","https://vallejostudentnutrition.com/?page=menus","840 Nebraska Street","Vallejo","CA",94589,38.1137322,-122.2455065,"2020-09-30","Chris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(707) 556-5700",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"11:00 AM - 1:00 PM","","","11:00 AM - 1:00 PM","","","","meal"
"Mt Pleasant STEAM Academy","","We are pleased to be offering FREE, grab and go breakfast and lunches for all of our students.
","Nos complace ofrecer desayunos y almuerzos GRATUITOS para llevar para todos nuestros estudiantes.","","https://www.facebook.com/MountPleasantESD/photos/pcb.2668135246781066/2668134833447774/?type=3&theater","14275 Candler Avenue","San Jose","CA",95127,37.3550424,-121.8109002,"2020-09-29","Chris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(408) 223-3720",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"10:00 AM - 1:00 PM","10:00 AM - 1:00 PM","10:00 AM - 1:00 PM","10:00 AM - 1:00 PM","10:00 AM - 1:00 PM","","","meal"
"PLāYT","","Instagram: @playthayward.","","","","1036 B St","NA","CA",94541,37.6734928,-122.0821931,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"","","","","","","","restaurant"
"Olive School Area","","Not the school site, walk up only","","Cwilliams@nusd.org","https://novatofans.org/","1530 Armstrong Avenue","Novato","CA",94945,38.1143744,-122.5638672,"2020-09-23","Chris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(415) 892-2115",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","","","meal"
"Los Arboles Middle","","Closed on 7/4 and after 7/24
Meals available 10am to 12pm (noon), students no longer need to be present
Families can pick up meals at any location. Meals will not be distributed at Central Coast, DLAMP, Foothill, Marina High and Walter Colton, but families can pick up at any of the locations.","Cerrado el 4/7 y después del 24/7. Comidas disponibles de 10:30 am a 12:30 pm, ya no es necesario que los estudiantes estén presentes. Las familias pueden recoger las comidas en cualquier lugar. Las comidas no se distribuirán en Central Coast, DLAMP, Foothill, Marina High y Walter Colton, pero las familias pueden recogerlas en cualquiera de los lugares.","jhull@montereycoe.org","","294 Hillcrest Ave","Marina","CA",93933,36.6795021,-121.7976695,"2020-07-22","Charlie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"10:00 AM - 12:00 PM","10:00 AM - 12:00 PM","10:00 AM - 12:00 PM","10:00 AM - 12:00 PM","10:00 AM - 12:00 PM","","","meal"
"West High","","Meals are provided for children ages 2-18. They are available for pick-up at any TUSD site, except Stein.","Se proporcionan comidas para los niños de 2 a 18 años. Están disponibles para recoger en cualquier sitio de Tracy Joint (TUSD), excepto Stein.","","https://www.tracy.k12.ca.us/parentstudent-information/health-services/coronavirus-page","1775 W Lowell Ave","Tracy","CA",95376,37.7493293,-121.4485121,"2020-09-18","Emily",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"(209) 830-3280",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","","","meal"
"YMCA EPA","","Lunch and Snack","","","","550 Bell St","East Palo Alto","CA",94303,37.482918,-122.15022,"2020-09-18","Emily",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"12:00 PM - 1:00 PM","12:00 PM - 1:00 PM","12:00 PM - 1:00 PM","12:00 PM - 1:00 PM","12:00 PM - 1:00 PM","","","meal"
"Valley Health Center Milpitas","","Testing for symptomatic and asymptomatic individuals. To schedule an appointment, call Valley Connections or visit our website at:","Pruebas para los individuos sintomáticos y asintomáticos. Para programar una cita, llame a Valley Connections o visite nuestro sitio web en:","","https://www.scvmc.org/patients-and-visitors/for-patients/Pages/covid-19-testing.aspx","160 N. Main Street Milpitas Santa Clara","NA","CA",95035,37.4328209,-121.9074444,"2020-08-06","JKT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(888) 334-1000",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","health"
"Calvary First Assembly of God Church","","*Lodi USD students do not need to be present but a postcard (coming soon in the mail) with bar code must be brought for each child for every pickup.","* Los estudiantes de Lodi USD no necesitan estar presentes, pero deben traer a cada recogida de comidas una tarjeta postal (lo cual llegará próximamente por correo) con un código de barras para cada niño. ","","http://www.schoolnutritionandfitness.com/index.php?sid=2904102048414688&page=menus","8407 Kelley Dr","Stockton","CA",95209,38.0250207,-121.359672,"2020-09-29","Charlie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"10:30 AM - 1:00 PM","","10:30 AM - 1:00 PM","","10:30 AM - 1:00 PM","","","meal"
